AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
01,Alabama,2,AL,000000,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,"6,830",7.1,3.268,1.01,,,54.06,"112,430",2.6,31.58,39.01,49.87,63.79,79.56,"65,690","81,130","103,730","132,670","165,490",,
02,Alaska,2,AK,000000,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,490,12.4,1.524,0.47,,,44.13,"91,780",3.2,28.17,36.52,40.77,51.40,61.66,"58,600","75,960","84,800","106,900","128,250",,
04,Arizona,2,AZ,000000,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,"10,010",8.2,3.130,0.97,,,51.41,"106,930",3.7,29.96,38.71,48.91,62.22,78.52,"62,320","80,510","101,730","129,420","163,320",,
05,Arkansas,2,AR,000000,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,"3,600",16.8,2.791,0.86,,,33.80,"70,300",2.2,13.78,20.55,34.88,43.87,50.94,"28,660","42,750","72,540","91,250","105,950",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,"55,460",3.7,3.071,0.95,,,63.91,"132,940",0.9,37.54,47.99,61.37,77.31,94.65,"78,070","99,810","127,660","160,800","196,870",,
09,Connecticut,2,CT,000000,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,"6,050",4.1,3.599,1.11,,,52.41,"109,000",1.5,32.83,41.25,50.89,62.21,73.44,"68,290","85,800","105,860","129,400","152,760",,
10,Delaware,2,DE,000000,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,"2,940",6.3,6.174,1.91,,,53.19,"110,640",3.4,28.84,38.08,50.04,65.03,78.01,"59,990","79,200","104,070","135,250","162,250",,
11,District of Columbia,2,DC,000000,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,"1,590",17.0,2.239,0.69,,,59.48,"123,720",5.0,41.53,45.47,54.86,69.29,77.71,"86,390","94,580","114,110","144,120","161,640",,
12,Florida,2,FL,000000,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,"35,660",4.4,3.631,1.12,,,51.27,"106,640",1.2,29.31,37.68,48.45,62.31,76.00,"60,970","78,370","100,770","129,590","158,080",,
13,Georgia,2,GA,000000,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,"12,200",3.4,2.512,0.78,,,51.26,"106,610",1.3,29.13,38.50,49.70,62.31,76.67,"60,580","80,090","103,380","129,610","159,470",,
15,Hawaii,2,HI,000000,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,"1,860",10.3,3.000,0.93,,,44.33,"92,210",3.8,29.00,33.86,41.68,50.72,60.65,"60,320","70,430","86,700","105,510","126,160",,
16,Idaho,2,ID,000000,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,"2,230",16.5,2.643,0.82,,,36.55,"76,030",12.9,14.00,24.22,33.08,47.16,64.02,"29,130","50,370","68,810","98,090","133,160",,
17,Illinois,2,IL,000000,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,"22,350",9.3,3.685,1.14,,,46.42,"96,560",3.7,25.00,31.64,46.12,59.47,66.14,"52,000","65,800","95,920","123,700","137,580",,
18,Indiana,2,IN,000000,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,"9,540",5.1,2.994,0.93,,,48.55,"100,990",3.5,29.51,36.73,46.38,57.74,66.30,"61,380","76,390","96,470","120,110","137,900",,
19,Iowa,2,IA,000000,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,"4,490",7.7,2.874,0.89,,,44.87,"93,330",1.3,29.40,35.74,44.07,51.39,61.55,"61,150","74,340","91,670","106,890","128,030",,
20,Kansas,2,KS,000000,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,"4,090",6.5,2.857,0.88,,,49.14,"102,220",2.8,29.38,36.45,46.78,62.21,75.19,"61,120","75,810","97,300","129,390","156,400",,
21,Kentucky,2,KY,000000,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,"4,700",11.8,2.355,0.73,,,42.84,"89,100",5.5,21.74,28.92,39.07,51.00,72.77,"45,220","60,150","81,270","106,080","151,360",,
