State FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages","Poverty Percent, All Ages","Poverty Estimate, Age 0-17","Poverty Percent, Age 0-17"
01,AL,Alabama,"780,043",15.7,"236,320",21.3
02,AK,Alaska,"75,594",10.5,"21,568",12.5
04,AZ,Arizona,"917,925",12.6,"246,285",15.8
05,AR,Arkansas,"459,700",15.4,"140,145",20.2
06,CA,California,"4,597,732",12.0,"1,242,302",15.0
08,CO,Colorado,"538,673",9.4,"129,751",10.9
09,CT,Connecticut,"359,550",10.2,"92,619",13.0
10,DE,Delaware,"109,203",10.8,"32,159",15.4
11,DC,District of Columbia,"98,811",15.2,"25,956",20.7
12,FL,Florida,"2,741,486",12.4,"689,967",16.0
13,GA,Georgia,"1,477,354",13.7,"469,680",18.8
15,HI,Hawaii,"143,193",10.2,"33,698",11.8
16,ID,Idaho,"193,938",10.1,"52,105",11.3
17,IL,Illinois,"1,424,894",11.6,"390,309",14.7
18,IN,Indiana,"815,808",12.2,"234,986",15.1
19,IA,Iowa,"344,877",11.1,"93,466",13.0
20,KS,Kansas,"319,815",11.2,"89,475",13.1
21,KY,Kentucky,"709,405",16.1,"201,537",20.2
22,LA,Louisiana,"839,489",18.9,"264,541",25.2
23,ME,Maine,"141,996",10.5,"30,775",12.6
24,MD,Maryland,"585,097",9.7,"149,906",11.3
25,MA,Massachusetts,"710,123",10.5,"167,647",12.7
26,MI,Michigan,"1,322,242",13.5,"362,488",17.5
27,MN,Minnesota,"519,464",9.2,"130,152",10.2
28,MS,Mississippi,"519,394",18.3,"162,144",24.3
29,MO,Missouri,"723,813",12.0,"197,439",14.7
30,MT,Montana,"130,301",11.8,"29,566",12.8
31,NE,Nebraska,"197,626",10.2,"52,447",11.1
32,NV,Nevada,"383,742",12.2,"110,536",16.4
33,NH,New Hampshire,"99,969",7.3,"20,374",8.2
34,NJ,New Jersey,"885,529",9.7,"252,962",12.8
35,NM,New Mexico,"349,872",16.9,"100,608",22.6
36,NY,New York,"2,697,685",14.1,"718,306",18.6
37,NC,North Carolina,"1,351,818",12.8,"403,041",17.5
38,ND,North Dakota,"75,483",10.0,"18,256",10.1
39,OH,Ohio,"1,518,116",13.2,"441,934",17.5
40,OK,Oklahoma,"621,050",15.8,"194,200",20.5
41,OR,Oregon,"503,758",12.1,"111,495",13.6
42,PA,Pennsylvania,"1,497,696",11.9,"400,534",15.5
44,RI,Rhode Island,"120,087",11.4,"30,274",15.1
45,SC,South Carolina,"724,634",13.9,"211,225",18.8
46,SD,South Dakota,"101,184",11.4,"29,314",13.5
47,TN,Tennessee,"963,479",13.8,"290,918",18.9
48,TX,Texas,"4,091,368",13.7,"1,373,461",18.4
49,UT,Utah,"302,676",9.0,"85,097",9.2
50,VT,Vermont,"61,591",9.9,"11,515",10.2
51,VA,Virginia,"867,052",10.2,"235,215",12.7
53,WA,Washington,"793,263",10.3,"196,142",12.1
54,WV,West Virginia,"281,922",16.4,"67,559",19.6
55,WI,Wisconsin,"614,069",10.6,"157,510",12.8
56,WY,Wyoming,"59,458",10.4,"15,355",12.0
