State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,"11,263","11,497","13,588","13,307","11,622","13,931","14,461","14,430","11,700","10,405","8,564","10,889","10,421","10,826","10,920","11,950","11,014","10,998","11,404","12,308","12,340","12,605","12,995","12,262","13,400","22,355","24,492","23,275","27,222","24,679","26,614","22,402","23,930","24,976","24,445","26,489","23,104","22,620","20,966","24,414","25,600","23,618","17,878","16,864","23,587","22,682","22,230","20,654","23,041","29,016","33,556","33,524","31,332","24,917","22,944","17,747","13,942","14,365","13,752","14,867","15,523","15,838","15,451","15,496",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,"318,818","316,466","315,608","302,842","353,712","363,440","348,419","379,465","402,842","427,738","503,797","439,720","510,021","453,403","463,397","534,693","508,453","505,588","492,162","579,943","633,365","592,489","645,392","577,139","657,109","676,254","634,516","627,490","649,791","680,322","707,762","662,161","623,932","600,869","568,577","607,150","607,031","600,683","568,308","477,574","472,699","469,962","460,201","486,363","531,179","518,423","443,032","469,036","506,837","459,529","493,094","468,671","488,084","469,162","414,366","331,420","247,632","326,748","370,533","350,506","313,282","238,021","262,134","303,503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,"9,178","8,864","5,745","4,959","4,757","5,071","5,296","4,241","4,735","5,116","6,014","6,193","9,604","9,093","10,210","10,766","11,983","12,634","12,616","5,632","7,158","5,139","3,613","1,975","1,840","1,795","3,747","1,885","6,193","1,571","1,324","1,167","1,302",987,"1,144",651,471,404,539,494,269,381,314,180,157,67,516,"1,863","1,548",112,718,"2,985","2,077","1,433","1,864","1,819",974,832,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,132,0,0,0,0,0,0,22,0,0,"2,915","25,305","65,228","71,697","142,379","154,259","230,085","244,195","199,923","251,482","240,795","256,340","273,011","251,813","254,419","212,531","255,170","251,261","273,762","263,538","249,018","290,251","275,298","267,527","288,013","262,514","228,630","256,500","247,729","258,148","286,772","293,303","280,064","262,251","278,231","263,426","179,356","173,934","173,998","160,706","167,930","174,841","161,374","163,691","173,337","146,450","116,678","134,024","140,759","82,222",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852,0,552,648,492,732,684,"1,236",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,"78,755","80,305","73,777","80,589","95,087","104,585","114,017","118,755","121,353","120,742","131,549","116,528","120,567","132,175","148,561","172,499","202,169","261,877","299,886","404,689","412,459","433,371","401,325","365,235","395,572","379,500","334,055","316,144","347,421","365,336","404,530","384,207","414,384","475,039","554,832","565,841","547,155","598,037","651,411","662,659","648,023","741,186","788,220","801,108","889,060","857,038","805,711","815,511","714,673","614,581","551,825","586,847","629,645","529,096","528,242","403,605","270,920","320,001","293,149","270,466","210,494","247,898","268,080","256,169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
