State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,248,637,"2,205","4,541","6,332","7,324","11,374","14,575","17,508","51,348","112,638","122,428","127,765","134,288","131,780","163,509","169,341","191,439","204,914","222,213","232,363","244,752","265,384","278,162","295,524","336,888","315,840","404,883","431,611","436,710","432,880","501,639","513,416","497,716","622,300","547,493","557,204","552,678","547,045","541,668","549,234","553,301","539,400","562,687","543,764","548,394","497,073","489,308","448,503","443,666","419,310","405,691","399,421","380,655","381,937","380,887","369,865","382,940","375,279","364,363","377,451","392,913","414,195","410,727",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,93,91,208,288,270,330,410,403,374,293,"1,019",860,"4,181","11,931","29,460","39,999","43,708","60,447","91,329","96,524","75,378","90,084","87,056","101,942","113,438","119,997","118,751","129,014","141,278","140,473","147,464","183,772","292,337","319,576","415,752","395,302","399,761","411,570","414,185","422,526","414,417","391,253","390,053","374,804","348,224","327,318","326,288","307,971","289,280","267,121","256,117","225,570","229,914","211,258","195,614","182,481","176,290","159,686","149,607","138,425","124,852","115,137","101,821","92,525",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,"57,339","61,574","68,467","78,691","78,760","85,651","108,754","120,488","161,958","175,018","187,524","177,416","169,310","159,276","125,426","117,327","110,525","107,333","108,240","113,561","114,395","95,489","127,144","132,568","139,948","159,936","135,689","145,493","169,871","176,611","177,885","167,987","204,972","199,946","192,702","202,230","228,350","212,498","193,586","173,898","175,471","170,142","166,236","175,384","189,912","193,576","278,724","273,910","453,357","691,076","938,086","1,090,851","1,164,000","1,164,319","1,142,667","1,031,466","839,485","708,482","600,455","534,585","490,185","457,554","425,658","399,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,0,0,244,"1,413","2,144","3,289","3,347","1,329",933,"1,203","1,166",919,468,132,239,219,276,253,305,258,224,197,104,138,47,89,65,62,58,"1,414","2,193","1,256",795,614,772,577,468,461,464,481,373,312,306,447,337,239,623,670,537,727,186,171,119,74,109,99,49,58,44,68,89,237,189,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,"589,797","633,908","643,001","736,753","756,771","752,592","785,895","776,178","814,712","772,313","739,752","700,742","562,118","507,417","419,434","365,492","400,468","353,833","352,356","282,321","342,543","415,048","432,864","463,728","527,247","546,252","511,561","469,061","444,625","404,886","401,448","414,390","402,577","352,853","340,415","308,580","320,843","314,186","350,247","411,088","391,339","408,873","394,973","373,822","356,787","354,384","351,706","343,379","331,830","310,439","320,668","280,255","278,232","287,883","271,757","271,086","234,094","240,221","228,906","220,789","177,065","156,112","153,495","148,926",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,"110,902","111,664","105,142","109,148","118,035","130,497","141,118","120,663","125,379","122,622","109,250","113,801","121,978","141,598","151,838","174,952","190,558","195,115","185,085","198,668","215,548","224,048","237,426","187,117","194,074","200,922","183,339","183,511","213,369","242,577","267,816","321,863","361,441","437,912","488,620","574,949","622,078","689,043","743,318","768,679","801,801","873,450","995,996","1,078,307","1,149,273","1,219,801","1,295,490","1,336,499","1,493,824","1,620,932","1,730,439","1,822,749","1,895,207","1,799,439","1,848,761","1,965,188","1,981,005","2,028,824","2,217,310","2,394,039","2,431,463","2,312,721","2,248,879","2,245,754",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,40,39,39,47,54,144,285,165,145,67,0,"1,215","19,410","39,625","45,258","59,682","65,109","69,793","78,144","77,538","69,397","55,367","40,791","35,030","24,004","20,159","16,935","15,061","13,834","13,738","11,575","8,284","11,162","11,549","10,742","9,237","8,758","8,735","8,338","8,565","8,911","7,855","4,893","4,543","4,374","3,637","3,501","2,071","2,545",263,"12,645","15,352",785,297,858,"1,162","1,062","1,048","1,123","1,295","1,041","1,177",968,727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
